Syntax version=4
Wed Jul 04 03:45:08 2018
Starting process (3312812 clocks per sec)

LogRawData=false
VarHeader=1
D:		ADC_Value	LoadDataAcquired	iServoLoadRate	iAccSpd	isotonicLoad	Kd_term	Ki_term	Kp_term	control	lServoPulseAddCnt	iCurTonicSpd	lTotalPositionCount	!LoadDataAcquired_10!	!isotonicLoad_100!
D:	time(ms)	(0x20001220,2)	(0x20001148,4)	(0x20001296,3)	(0x200011a8,5)	(0x2000126a,3)	(0x200010e8,7)	(0x200010e0,7)	(0x200010d8,7)	(0x200010f0,7)	(0x200011b4,5)	(0x200011f0,5)	(0x200011ac,5)	!LoadDataAcquired/100!	!isotonicLoad/100!
D:	249.47	1768	8854	12	357	9300	-0.000000	-135.467250	-223.500000	-358.967250	0	-357	-124939	88.54	93.0
D:	254.86	1768	8852	12	358	9300	-0.000000	-135.579500	-224.500000	-360.079500	0	-358	-124939	88.52	93.0
D:	260.23	1726	8850	10	360	9300	-0.000000	-135.692250	-225.500000	-361.192250	0	-360	-124939	88.5	93.0
D:	265.60	1722	8848	10	361	9300	-0.000000	-135.805250	-226.000000	-361.805250	0	-361	-124939	88.48	93.0
D:	270.97	1767	8847	10	361	9300	-0.000000	-135.918750	-227.000000	-362.918750	0	-361	-124939	88.47	93.0
D:	276.35	1755	8845	12	362	9300	-0.000000	-136.032750	-228.000000	-364.032750	0	-364	-124939	88.45	93.0
D:	281.73	1721	8843	12	364	9300	-0.000000	-136.147000	-228.500000	-364.647000	0	-364	-124939	88.43	93.0
D:	287.10	1555	8841	12	365	9300	-0.000000	-136.261750	-229.500000	-365.761750	0	-365	-124939	88.41	93.0
D:	292.48	1789	8841	13	365	9300	0.000000	-136.376500	-229.500000	-365.876500	0	-365	-124939	88.41	93.0
D:	297.99	2002	8839	13	366	9300	-0.000000	-136.607500	-231.500000	-368.107500	0	-366	-124939	88.39	93.0
D:	303.35	1753	8837	13	368	9300	-0.000000	-136.723500	-232.000000	-368.723500	0	-368	-124939	88.37	93.0
D:	308.85	1756	8835	13	368	9300	-0.000000	-136.840000	-233.000000	-369.840000	0	-368	-124939	88.35	93.0
D:	314.49	1720	8833	12	369	9300	-0.000000	-136.956750	-233.500000	-370.456750	0	-369	-124939	88.33	93.0
D:	319.99	1772	8832	12	370	9300	-0.000000	-137.074000	-234.500000	-371.574000	0	-370	-124939	88.32	93.0
D:	325.35	1717	8830	12	371	9300	-0.000000	-137.191750	-235.500000	-372.691750	0	-371	-124939	88.3	93.0
D:	330.73	1784	8828	11	372	9300	-0.000000	-137.309750	-236.000000	-373.309750	0	-372	-124939	88.28	93.0
D:	336.14	1717	8827	11	373	9300	-0.000000	-137.428000	-236.500000	-373.928000	0	-373	-124939	88.27	93.0
D:	341.48	1731	8826	11	373	9300	-0.000000	-137.546500	-237.000000	-374.546500	0	-374	-124939	88.26	93.0
D:	346.99	1731	8824	11	375	9300	-0.000000	-137.665500	-238.000000	-375.665500	0	-375	-124939	88.24	93.0
D:	352.35	1538	8823	11	376	9300	-0.000000	-137.784750	-238.500000	-376.284750	0	-376	-124939	88.23	93.0
D:	357.73	2023	8822	11	376	9300	-0.000000	-137.904250	-239.000000	-376.904250	0	-376	-124939	88.22	93.0
D:	363.12	1544	8822	11	377	9300	-0.000000	-138.143500	-239.500000	-377.643500	0	-377	-124939	88.22	93.0
D:	368.48	1982	8821	11	377	9300	-0.000000	-138.263500	-240.000000	-378.263500	0	-377	-124939	88.21	93.0
D:	373.86	1754	8819	11	378	9300	-0.000000	-138.384000	-241.000000	-379.384000	0	-378	-124939	88.19	93.0
D:	379.25	1752	8818	11	379	9300	0.000000	-138.504500	-241.000000	-379.504500	0	-379	-124939	88.18	93.0
D:	384.73	1758	8817	11	379	9300	-0.000000	-138.625250	-241.500000	-380.125250	0	-379	-124939	88.17	93.0
D:	390.22	1736	8817	11	380	9300	-0.000000	-138.746250	-242.000000	-380.746250	0	-380	-124939	88.17	93.0
D:	395.60	1544	8816	11	380	9300	0.000000	-138.867250	-242.000000	-380.867250	0	-380	-124939	88.16	93.0
D:	400.99	1784	8815	11	380	9300	-0.000000	-138.988500	-242.500000	-381.488500	0	-380	-124939	88.15	93.0
D:	406.35	1757	8814	11	381	9300	-0.000000	-139.110000	-243.000000	-382.110000	0	-381	-124939	88.14	93.0
D:	412.00	1776	8813	11	382	9300	-0.000000	-139.231750	-243.500000	-382.731750	0	-382	-124939	88.13	93.0
D:	417.34	1544	8813	11	382	9300	0.000000	-139.353500	-243.500000	-382.853500	0	-382	-124939	88.13	93.0
D:	422.88	1720	8812	11	383	9300	-0.000000	-139.475500	-244.000000	-383.475500	0	-383	-124939	88.12	93.0
D:	428.22	1722	8810	11	384	9300	-0.000000	-139.720750	-245.500000	-385.220750	0	-384	-124939	88.1	93.0
D:	433.60	1552	8809	11	385	9300	-0.000000	-139.843750	-246.000000	-385.843750	0	-385	-124939	88.09	93.0
D:	438.98	1796	8808	11	385	9300	-0.000000	-139.967000	-246.500000	-386.467000	0	-385	-124939	88.08	93.0
D:	444.35	1551	8806	11	386	9300	-0.000000	-140.090500	-247.000000	-387.090500	0	-386	-124939	88.06	93.0
D:	449.72	1547	8806	12	387	9300	-0.000000	-140.214250	-247.500000	-387.714250	0	-387	-124939	88.06	93.0
D:	455.23	1787	8805	12	387	9300	0.000000	-140.338000	-247.500000	-387.838000	0	-387	-124939	88.05	93.0
D:	460.59	1752	8805	12	387	9300	0.000000	-140.461750	-247.500000	-387.961750	0	-387	-124939	88.05	93.0
D:	465.98	1727	8805	12	387	9300	0.000000	-140.585500	-247.500000	-388.085500	0	-387	-124939	88.05	93.0
D:	471.34	1725	8804	12	388	9300	-0.000000	-140.709500	-248.000000	-388.709500	0	-388	-124939	88.04	93.0
D:	476.72	1744	8803	12	388	9300	-0.000000	-140.833750	-248.500000	-389.333750	0	-389	-124939	88.03	93.0
D:	482.19	1744	8803	12	389	9300	0.000000	-140.958000	-248.500000	-389.458000	0	-389	-124939	88.03	93.0
D:	487.61	1544	8803	12	389	9300	0.000000	-141.082250	-248.500000	-389.582250	0	-389	-124939	88.03	93.0
D:	493.11	1546	8803	12	389	9300	-0.000000	-141.331012	-248.500000	-390.331000	0	-389	-124939	88.03	93.0
